,Frame,xmin,ymin,xmax,ymax,xmid,ymid
0,3,880.7282898479606,488.94866899960897,1016.7070691477381,641.0342206669272,948.7176794978493,564.9914448332681
0,4,879.5895425374167,488.854195928752,1016.0490850067056,641.0972027141654,947.8193137720612,564.9756993214587
0,5,877.159359097733,491.7922633923135,1014.5838757114101,644.7660840724511,945.8716174045716,568.2791737323823
0,6,877.5506708887967,496.3589216608486,1013.1041762794898,647.4113900452132,945.3274235841433,571.8851558530309
0,7,872.3144322101533,498.6368354814045,1006.9594598929325,648.9787965880329,939.636946051543,573.8078160347187
0,8,867.0349944056371,497.30599276677015,1005.61753332313,652.2290563326253,936.3262638643836,574.7675245496978
0,9,865.1923518795959,506.2059848846932,1001.8852797330344,659.4034031271422,933.5388158063151,582.8046940059177
0,10,864.7645550892952,509.5089183246921,1000.5000738037965,662.014511662851,932.6323144465458,585.7617149937715
0,11,863.3902423936601,509.28655313954334,1000.757827595036,664.2132407784566,932.074034994348,586.7498969589999
0,12,860.6619016991702,511.78276557159495,996.5912735573831,665.6004318548238,928.6265876282766,588.6915987132094
0,13,857.8728182162974,511.96569340288755,994.9698263389078,668.0088816633552,926.4213222776026,589.9872875331214
0,14,857.1501484521269,511.9645303410929,994.2083532950346,668.8243624462501,925.6792508735807,590.3944463936715
0,15,854.2953332430005,512.5498108860667,991.4002470481544,670.3584310198075,922.8477901455774,591.454120952937
0,16,853.5247904249851,512.7085835100961,990.1936226499664,670.8539520908347,921.8592065374758,591.7812678004655
0,17,856.7936932808975,511.3892532173496,975.1283361897914,646.5371246919489,915.9610147353444,578.9631889546492
0,18,847.5269562464574,517.0678303646796,975.2142235916677,664.182944674009,911.3705899190626,590.6253875193443
0,19,838.2683622717129,517.6018124894824,971.601353315553,671.7478319792755,904.934857793633,594.674822234379
0,20,835.7987968432449,519.0463148217154,969.9461912469618,675.2754991208878,902.8724940451034,597.1609069713016
0,21,830.6836248652954,521.5058115977247,967.8499378521102,681.7944974599305,899.2667813587028,601.6501545288277
0,22,828.9747432635927,522.3935322728644,967.0116286241275,684.2019054070238,897.9931859438601,603.2977188399441
0,23,827.1004519539167,526.592695313247,963.5776698523324,686.3282157291793,895.3390609031246,606.4604555212131
0,24,823.9880623838935,530.7775999774367,959.633919373944,689.0032480892102,891.8109908789188,609.8904240333234
0,25,812.9532922602785,532.2869802238165,953.0353432373206,695.1955397387716,882.9943177487996,613.741259981294
0,26,808.1405939908735,536.0576846578225,947.5167969233361,697.436602485878,877.8286954571048,616.7471435718503
0,27,802.9971531224038,536.7677496041517,943.7191263336222,698.8213874257444,873.3581397280129,617.7945685149481
0,28,801.2398356597735,537.6180011720548,942.3656757675243,699.2419747828203,871.8027557136488,618.4299879774376
0,29,801.5896306882563,545.110779613329,941.7927977173407,705.2236753888516,871.6912142027985,625.1672275010903
0,30,799.5192338317413,547.2101219237347,940.7613426412714,708.7095331536405,870.1402882365064,627.9598275386876
0,31,792.3814189435149,549.2309687418085,933.1288383765756,710.5779968972573,862.7551286600452,629.9044828195329
0,32,789.9175616350823,551.8800645059052,928.9021265473793,711.8296512656593,859.4098440912308,631.8548578857823
0,33,789.6342657555157,554.1088577388077,928.9248744027976,714.8355741307607,859.2795700791567,634.4722159347842
0,34,789.748395577965,554.8605684945715,928.9490010092672,715.8699198756934,859.348698293616,635.3652441851325
0,35,788.4962155130627,554.3936785005914,929.8301531574324,718.7971108303523,859.1631843352475,636.5953946654718
0,36,784.4811534811092,556.1146926210539,927.327421679659,723.0930584014008,855.9042875803841,639.6038755112273
0,37,780.6734400814905,558.6642856199487,922.9384518029178,725.949743265291,851.8059459422042,642.3070144426199
0,38,772.7454090582604,562.8484930849887,914.7964534673654,730.8743349786686,843.7709312628128,646.8614140318286
0,39,776.7984383132545,568.303992716408,910.751827757492,728.7039120919721,843.7751330353733,648.50395240419
0,40,778.5781217886432,570.283343200679,908.6708283871387,727.7011093607612,843.6244750878909,648.9922262807202
0,41,763.9706728681374,568.2479883935123,901.9863811581307,735.2692209227262,832.978527013134,651.7586046581192
0,42,756.222874123288,570.725026660904,894.2918647029617,736.6932506141695,825.2573694131248,653.7091386375367
0,43,750.3236628201321,569.6203573108048,891.8449034923777,739.0876372704117,821.084283156255,654.3539972906083
0,44,750.3183155134042,574.3745702705171,888.2957713912559,738.6050348823146,819.30704345233,656.4898025764159
0,45,752.4927557450887,586.7764377106652,886.5039293421048,745.6016388773854,819.4983425435968,666.1890382940253
0,46,753.082315502717,591.3137232054493,886.3828320893167,748.7846380612816,819.7325737960168,670.0491806333655
0,47,751.4845330803296,594.2052697037208,883.7054666653111,749.8602022622543,817.5949998728204,672.0327359829876
0,48,750.1675334773385,598.4877056060045,881.6630522210846,752.8190074616497,815.9152928492115,675.653356533827
0,49,736.4889966187202,594.6149109986587,876.2996592755665,758.4882138299738,806.3943279471433,676.5515624143163
0,50,729.0973090985282,593.1547144101116,873.5725569632448,762.4673865147134,801.3349330308865,677.8110504624126
0,51,722.8185689083606,594.4351305030555,870.3387985601515,767.1475317837877,796.5786837342561,680.7913311434215
0,52,720.8754089494544,594.8521904601528,869.5245871532729,768.8440629208842,795.1999980513637,681.8481266905185
