,Frame,xmin,ymin,xmax,ymax,xmid,ymid
0,159,1247.8002022918765,635.7795553531271,1367.2161944173952,803.0,1307.5081983546359,719.3897776765635
0,160,1247.9074560214576,636.0239181676386,1367.1392970755874,802.9999999999999,1307.5233765485225,719.5119590838192
0,161,1247.933904356547,636.0832891653779,1367.112111617761,803.0,1307.523007987154,719.541644582689
0,162,1247.606400996175,636.0884894997644,1366.7162129400788,803.0,1307.1613069681268,719.5442447498822
0,163,1247.7395497064183,636.780499917357,1366.3285652400461,803.0,1307.0340574732322,719.8902499586785
0,164,1247.7952194430577,637.0182483675744,1366.1868431867751,803.0,1306.9910313149164,720.0091241837872
0,165,1247.8226613443655,637.0917869429245,1366.1338858984602,803.0,1306.9782736214129,720.0458934714623
0,166,1247.8397933566125,637.1071019382315,1366.1125024587093,803.0,1306.976147907661,720.0535509691158
0,167,1247.6403221375203,636.4293848453303,1366.3147503752755,803.0000000000001,1306.9775362563978,719.7146924226652
0,168,1247.5895240759608,636.1704991656661,1366.3700968205849,803.0000000000001,1306.979810448273,719.5852495828331
0,169,1247.5709081321245,636.2116005752381,1366.3222155822657,803.0,1306.946561857195,719.6058002876191
