,Frame,xmin,ymin,xmax,ymax,xmid,ymid
0,10,305.2622553343116,225.85762704222634,381.826727764297,416.07118647888683,343.5444915493043,320.9644067605566
0,11,312.3062193755665,224.09563230538413,389.2330527512096,414.6960076809461,350.769636063388,319.3958199931651
0,12,313.84022262578475,219.95043384759217,390.2256452733305,409.0829503194466,352.0329339495576,314.5166920835194
0,13,316.93621238244475,219.34035065377464,393.4089081337989,408.6023401477887,355.17256025812185,313.9713454007817
0,14,317.7720212541757,219.22943084347224,394.5440913580085,409.1990978835182,356.1580563060921,314.2142643634952
0,15,321.2708070060395,222.7044240973538,396.33507422544375,407.40806965877914,358.8029406157416,315.0562468780665
0,16,322.3097616784982,224.06735106104549,396.99182025763673,406.8003612594534,359.65079096806744,315.43385616024943
0,17,324.49307646944203,223.6938610843446,398.9275069749112,405.82096306714675,361.71029172217663,314.75741207574566
0,18,325.8164600788135,225.4672786185042,400.489615820429,406.5708941096193,363.15303794962125,316.01908636406176
0,19,333.48145734353153,224.4298117217997,408.32109719629756,405.9458793379354,370.90127726991454,315.18784552986756
0,20,336.3267579626835,224.22100702428392,410.95177934303956,405.21652179342027,373.6392686528615,314.7187644088521
0,21,339.4037999733218,225.58380181174792,413.54480228996636,405.6832476930588,376.4743011316441,315.63352475240333
0,22,340.68897586855525,225.86166546138645,414.7188791443252,405.7141570020101,377.7039275064402,315.7879112316983
0,23,343.6892066832238,224.62286363974243,417.15915954147584,403.7307865949832,380.42418311234985,314.1768251173628
0,24,344.5857769882997,219.49903831221698,418.7557994044126,401.01554121259187,381.67078819635617,310.2572897624044
0,25,347.86680546021154,214.29677384196717,422.843666036763,398.70791370334007,385.3552357484873,306.5023437726536
0,26,350.40781864414004,213.056022186787,425.44734825715733,397.6213072439201,387.9275834506487,305.33866471535356
0,27,354.53495475592706,204.1777932433754,430.3556243624272,390.6717848383802,392.4452895591771,297.4247890408778
