,Frame,xmin,ymin,xmax,ymax,xmid,ymid
0,3,1452.330079673047,27.966937110697458,1533.686451771604,185.98346855534874,1493.0082657223256,106.9752028330231
0,4,1452.4000416919203,27.905198392935432,1533.6473591116119,185.9525991964677,1493.023700401766,106.92889879470157
0,5,1452.660543820336,27.906606967101496,1532.649175780302,183.7423727361171,1492.654859800319,105.82448985160929
0,6,1456.5721786371269,28.641997075620907,1536.4095289780016,183.73043520466427,1496.4908538075642,106.18621614014259
0,7,1461.2779299838132,29.605153129495548,1540.6606839126457,182.35081005859968,1500.9693069482296,105.9779815940476
0,8,1463.1850971457766,29.94432794335816,1542.5318408039393,181.19406461034896,1502.858468974858,105.56919627685356
0,9,1463.0085722885506,30.05561590990071,1541.8486636242844,179.43717536139354,1502.4286179564174,104.74639563564713
0,10,1462.7132459648883,30.085218314645104,1541.6874354962163,178.83879507250384,1502.2003407305524,104.46200669357447
0,11,1464.0582271997732,30.087266806211773,1543.4653897626317,178.66054189280703,1503.7618084812025,104.3739043495094
0,12,1464.9348649096587,30.080503701675866,1544.9950930545754,179.3056471413708,1504.964978982117,104.69307542152333
0,13,1466.4014204885796,29.402010935407034,1546.3381105130413,178.23390884328478,1506.3697655008104,103.8179598893459
0,14,1466.8672400082623,29.1435278079464,1546.8239416316305,177.8595187065239,1506.8455908199464,103.50152325723514
0,15,1468.0993954004261,28.378935953479726,1547.1886547421896,175.07677156034538,1507.6440250713079,101.72785375691255
0,16,1468.668242532163,28.093124175289233,1547.791752921662,174.73267955364742,1508.2299977269126,101.41290186446832
0,17,1467.5277623770455,25.991827944652343,1545.9579815551197,171.97146441879084,1506.7428719660825,98.9816461817216
0,18,1467.413033757575,23.879374608959807,1546.216138647659,170.97326627720486,1506.814586202617,97.42632044308233
0,19,1468.1346792039833,23.106738372398496,1547.4880272936211,171.96393776888294,1507.8113532488023,97.53533807064072
0,20,1469.3709417575326,22.176680528056863,1548.935584240304,172.37227223437023,1509.1532629989183,97.27447638121355
0,21,1471.058076560619,21.84693338786424,1549.531529119528,170.57925576812283,1510.2948028400733,96.21309457799353
0,22,1471.7495755168359,21.74870206290322,1549.643376724735,169.92681183686702,1510.6964761207855,95.83775694988512
0,23,1471.2980264406795,22.396407902575774,1549.0121283851834,170.3747278562871,1510.1550774129314,96.38556787943145
0,24,1471.212572815528,21.99671832145529,1548.6369444124443,169.9091174002422,1509.9247586139861,95.95291786084874
0,25,1472.1969217137487,22.523700833421643,1548.096717956511,167.77266857883097,1510.14681983513,95.1481847061263
0,26,1473.2439118035875,22.07408384109243,1548.5055193221958,166.32685473391948,1510.8747155628917,94.20046928750595
0,27,1473.423656797303,20.587657950561763,1549.4963748218522,167.15000476750788,1511.4600158095777,93.86883135903483
0,28,1473.296208791682,20.04629946975693,1549.368162168907,167.4809379085949,1511.3321854802944,93.76361868917593
0,29,1473.964391507113,18.539125438936154,1549.2227566311974,165.65334977157755,1511.5935740691552,92.09623760525685
0,30,1475.1169713670238,15.341561266131052,1550.2168458495837,163.66119515348538,1512.6669086083039,89.50137820980822
0,31,1476.162663373974,13.503243665941511,1551.265240339474,162.93793857922375,1513.7139518567242,88.22059112258263
0,32,1477.111514419588,12.181461468063262,1552.3885784626914,162.69504040602249,1514.7500464411396,87.43825093704288
0,33,1478.253459752727,11.058623230611886,1553.306274520742,161.3178782270392,1515.7798671367345,86.18825072882554
0,34,1478.5500382768694,10.671920535491012,1553.7442452778268,161.48450613929123,1516.1471417773482,86.07821333739112
0,35,1480.0838171515024,11.22110457443027,1555.0756816218939,160.91807551759973,1517.579749386698,86.06959004601501
0,36,1481.2116345116826,12.129580627792848,1555.6453218659353,160.07129849992307,1518.428478188809,86.10043956385796
0,37,1481.9650409691717,11.52280282854467,1556.3403581046518,159.3486401888647,1519.1526995369118,85.43572150870469
0,42,1480.80249619801,4.304845943201187,1554.9138011108544,149.45740323465657,1517.8581486544322,76.88112458892888
0,43,1484.5805737894573,4.49338196320916,1557.7742162998372,145.9724874497345,1521.1773950446473,75.23293470647184
0,44,1484.3756683495756,2.538402756765038,1558.1386379766188,143.48544193392232,1521.2571531630972,73.01192234534368
0,45,1484.8863627781284,1.854198361056163,1558.9833725080314,141.96053575984735,1521.93486764308,71.90736706045175
0,46,1484.4748993806363,1.6373546202183604,1559.190815116078,141.45490697269358,1521.8328572483572,71.54613079645597
0,47,1484.022162971897,0.2614044357629126,1559.5249411165803,141.3269544239579,1521.7735520442386,70.7941794298604
0,48,1483.5471046511498,-0.22158595709741746,1559.9225507801646,141.99159741165118,1521.734827715657,70.88500572727688
0,49,1483.9701721838514,-0.3695197783038111,1561.421016119533,142.9505972451651,1522.6955941516921,71.29053873343065
0,50,1483.3100305339235,-0.3934570867863698,1562.1193238721444,144.6712402809262,1522.714677203034,72.13889159706991
0,51,1482.6590309550506,-0.37514423519201046,1562.0969612693,145.35008620750736,1522.3779961121754,72.48747098615767
0,52,1482.3288466089136,-0.3412540399874473,1562.1413894187729,145.62990229643822,1522.2351180138432,72.64432412822538
0,53,1482.7455799277075,-0.3049228640821724,1562.9109344772285,145.09326605594697,1522.828257202468,72.39417159593239
0,54,1484.2979449107947,-0.26963731577978933,1564.4292613035145,144.2435419877348,1524.3636031071546,71.9869523359775
0,55,1486.2644945816448,-0.2374908443893844,1565.5820288940536,141.95258853602527,1525.9232617378493,70.85754884581794
0,56,1487.8845610405297,-0.20726696695149371,1566.431224891911,140.44232550592557,1527.1578929662203,70.11752926948704
0,57,1490.843980346218,-0.18159965425640223,1569.0073726026008,138.57297255354536,1529.9256764744093,69.19568644964448
0,58,1491.7437776493437,-0.1585855888364449,1570.1225302908022,137.90468177680657,1530.933153970073,68.87304809398506
0,59,1494.7774712339408,-0.13930560190668473,1571.765771850881,134.36041760946563,1533.271621542411,67.11055600377946
0,60,1496.0763136406256,-0.1200717787176444,1573.4819428414535,135.08275152956463,1534.7791282410394,67.48133987542349
0,61,1497.8366175445901,-0.1062536665879037,1575.4186297263714,135.38116350348406,1536.6276236354806,67.63745491844807
0,62,1499.0251729588285,-0.09360207938972565,1575.528622274347,133.53627441370043,1537.2768976165878,66.72133616715536
0,63,1499.989045505708,-0.08130467007465825,1575.6161575564938,132.8764494869955,1537.802601531101,66.39757240846043
0,64,1500.4269664855037,-0.07121818434303862,1575.4847942444273,132.6652167260794,1537.9558803649657,66.29699927086818
0,65,1501.4486065937974,-0.06257531026096785,1576.4932106574263,133.28407567918845,1538.9709086256119,66.61075018446374
0,66,1502.7071282435834,-0.055242369076751174,1577.2489344094026,132.8806420495865,1539.978031326493,66.41269984025487
0,67,1504.4104900274513,-0.04845200400865224,1578.2175549603282,132.09057989603383,1541.3140224938898,66.02106394601259
0,68,1505.575413129578,-0.12647570720238832,1579.073515885664,131.4590756730054,1542.324464507621,65.6662999829015
