,Frame,xmin,ymin,xmax,ymax,xmid,ymid
0,3,1573.904348934377,918.1652808228216,1708.9236922297578,1080.0,1641.4140205820672,999.0826404114108
0,4,1573.6700339191937,918.4872133906777,1708.675327118584,1080.0,1641.1726805188887,999.2436066953388
0,5,1579.7470872720482,921.45680443527,1712.0911432710463,1079.2553197304157,1645.9191152715473,1000.3560620828429
0,6,1584.1372005216203,928.1859088571547,1711.5340416318923,1079.0106055822023,1647.8356210767563,1003.5982572196785
0,7,1589.1178522088321,936.1181123079822,1710.5586552234195,1078.2182704543718,1649.8382537161258,1007.1681913811769
0,8,1590.3570205716808,944.3778532037954,1706.159765501449,1077.9648164322193,1648.258393036565,1011.1713348180074
0,9,1591.7849797054873,950.515599514805,1704.2187933227465,1078.6175068859325,1648.001886514117,1014.5665532003687
0,10,1591.6785426385147,952.3412204085,1704.0645806371476,1078.848772665781,1647.8715616378313,1015.5949965371406
0,11,1594.0452973961935,961.8542332103797,1700.1551758798685,1078.9320190992585,1647.100236638031,1020.3931261548191
0,12,1596.8885565086296,967.2270575093004,1698.085541621046,1078.8840985554887,1647.4870490648377,1023.0555780323946
