,Frame,xmin,ymin,xmax,ymax,xmid,ymid
0,3,803.3491855854081,239.96837361619782,858.6982539902953,417.8893076566924,831.0237197878516,328.9288406364451
0,4,803.4433452583066,239.908167257741,858.6944038550819,417.6785854020935,831.0688745566943,328.79337632991724
0,5,805.5637077651068,237.68778637823323,861.7562128729338,418.42461326861144,833.6599603190202,328.05619982342233
0,6,809.266456520141,236.96394803299995,866.1599173481633,418.71003791342173,837.7131869341522,327.83699297321084
0,7,814.2227310666924,236.74933489154716,872.3375913204585,418.8315229440011,843.2801611935754,327.79042891777414
0,8,818.4674035534206,236.70895651521184,877.4388888712164,418.20000587452955,847.9531462123184,327.4544811948707
0,9,820.1865033628471,236.72529962172015,879.5881284488026,417.2973013682674,849.8873159058248,327.0113004949938
0,10,820.4728127661783,236.75634312489086,880.4774919625204,416.9781025534029,850.4751523643494,326.86722283914685
0,11,821.0023614669972,236.11435745333972,880.836965327911,414.1829914685919,850.9196633974541,325.1486744609658
0,12,824.2678250135124,234.5473561682923,883.0785995005965,409.1203749746666,853.6732122570545,321.83386557147946
0,13,828.4991987207424,232.63736131375518,886.7719094603289,405.9274539836716,857.6355540905356,319.2824076487134
0,14,829.9931590474171,231.95984137410736,888.0170619329514,404.8056975149939,859.0051104901843,318.3827694445506
0,15,833.1400841796137,230.40076856697908,891.049240014072,403.7806704678261,862.0946620968429,317.0907195174026
0,16,834.3014867288275,229.84997361050245,892.0121850492898,403.4549436073288,863.1568358890586,316.6524586089156
0,17,836.3259511095075,226.35219738984355,894.587187169081,402.7232085802566,865.4565691392943,314.5377029850501
0,18,839.1799175493948,223.09485432817436,897.9226940118593,402.4924507718607,868.551305780627,312.79365255001755
0,19,841.9216883385843,220.58906456379373,901.3072576120943,403.76273172467086,871.6144729753394,312.1758981442323
0,20,844.2717603849122,218.37589326777766,904.3966546053066,405.5911988319182,874.3342074951095,311.9835460498479
0,21,845.9985347303273,216.2774958955959,906.5394701058283,406.3179331872286,876.2690024180778,311.29771454141223
0,22,846.9939216398237,215.52931352095624,907.5042463687239,407.2698068362456,877.2490840042738,311.39956017860095
0,23,849.3052967949332,215.3028549797145,909.0353208843923,406.34340986333257,879.1703088396628,310.82313242152355
0,24,851.7519047326438,214.6210943857243,910.5088531506073,404.68581146798726,881.1303789416255,309.6534529268558
0,25,853.6441874872793,211.78175500055158,912.5704054784248,403.41154820523445,883.107296482852,307.596651602893
0,26,859.4005486451429,214.6925772387786,914.7211344892968,395.0745547288834,887.0608415672198,304.883565983831
